id,x,y,symbol
HGC0292,2678555.812,1251835.015,white_circle
HGL4864,2678573.574,1251834.641,white_circle
HGM6113,2678570.636,1251831.614,white_circle
HGP6113,2678572.467,1251835.17,white_circle
HGE4865,2678579.706,1251831.708,white_circle
HGF4865,2678584.977,1251829.187,white_circle
HGB4865,2678597.224,1251854.782,white_circle
HGC4865,2678590.089,1251858.704,white_circle
HGA4865,2678603.422,1251851.818,white_circle
HGG4866,2678612.35,1251849.404,white_circle
HGI4866,2678612.35,1251858.902,white_circle
HGA4866,2678611.838,1251845.545,white_circle
HGE4866,2678624.15,1251850.233,white_circle
HGQ4862,2678623.25,1251850.233,white_circle
HGC4866,2678616.818,1251841.833,white_circle
HGD4866,2678623.25,1251845.233,white_circle
HGE4868,2678623.25,1251841.833,white_circle
HGF4866,2678614.213,1251847.392,white_circle
HGX6112,2678637.342,1251836.184,white_circle
HGB4866,2678595.788,1251824.017,white_circle
HGG4865,2678591.175,1251826.223,white_circle
HGD4868,2678609.94,1251826.504,white_circle
HGF4868,2678606.756,1251818.769,white_circle
HGO0292,2678609.852,1251812.764,white_circle
HGS6117,2678612.93,1251811.496,white_circle
HGY6112,2678612.863,1251815.849,white_circle
HGB4868,2678616.975,1251833.759,white_circle
HGC4868,2678616.975,1251830.134,white_circle
HGA4868,2678623.25,1251833.758,white_circle
HGH4868,2678616.975,1251828.143,white_circle
HGK4868,2678616.754,1251825.883,white_circle
HGZ6112,2678616.098,1251823.709,white_circle
HGB6113,2678622.884,1251825.581,white_circle
HGT6117,2678636.539,1251822.121,white_circle
HGU6117,2678629.442,1251831.797,white_circle
HG2775,2678616.139,1251813.848,double_white_circle
HGE4674,2678634.896,1251811.101,white_circle
HGN6112,2678633.209,1251819.167,white_circle
HGD4845,2678600.03,1251782.911,white_circle
HGH4845,2678629.88,1251770.565,white_circle
HGE4867,2678644.581,1251853.032,white_circle
HGF4867,2678644.581,1251858.902,white_circle
HGG4689,2678644.581,1251839.084,white_circle
HG2803,2678640.033,1251845.945,double_white_circle
HGE4838,2678691.389,1251857.845,white_circle
HGG4837,2678675.459,1251851.46,white_circle
HGI6112,2678640.875,1251827.367,white_circle
HGM6112,2678641.805,1251825.046,white_circle
HGB4688,2678713.239,1251856.367,white_circle
HG2777,2678700.461,1251859.238,double_white_circle
HGK6112,2678726.361,1251861.625,white_circle
HGC4688,2678715.092,1251832.646,white_circle
HG2837,2678712.658,1251831.275,double_white_circle
HGA4688,2678721.336,1251829.839,white_circle
HGC6118,2678720.515,1251828.015,white_circle
HGE4845,2678641.875,1251799.575,white_circle
HGR1151,2678672.74,1251782.542,white_circle
HGS1151,2678669.5,1251783.892,white_circle
HGT1151,2678677.91,1251784.692,white_circle
HGU1151,2678667.35,1251789.082,white_circle
HGG4845,2678659.014,1251758.516,white_circle
HGA4675,2678732.794,1251770.796,white_circle
HGB4675,2678700.729,1251783.996,white_circle
HGR0220,2678729.67,1251763.43,white_circle
HG2774,2678698.274,1251782.275,double_white_circle
HGA4265,2678789.794,1251999.015,white_circle
HGD4369,2678791.904,1251999.905,white_circle
HGE4369,2678790.104,1252004.355,white_circle
HGG4264,2678762.195,1251988.085,white_circle
HGD4348,2678817.342,1252013.175,white_circle
HG2691,2678816.261,1252017.433,double_white_circle
HGB4369,2678808.433,1252007.675,white_circle
HGC4369,2678799.083,1252002.995,white_circle
HGF4369,2678797.353,1252007.315,white_circle
HGM4261,2678801.312,1251976.955,white_circle
HGN4261,2678797.993,1251985.075,white_circle
HGC4880,2678752.271,1251927.619,white_circle
HGD4263,2678751.926,1251966.285,white_circle
HG2859,2678803.847,1251920.843,double_white_circle
HGG4880,2678752.532,1251898.619,white_circle
HGE4263,2678752.736,1251875.846,white_circle
HGZ6117,2678747.839,1251865.482,white_circle
HG2778,2678744.886,1251874.009,double_white_circle
HGA3801,2678768.846,1251871.236,white_circle
HGC4262,2678768.336,1251871.476,white_circle
HGA4857,2678807.465,1251890.909,white_circle
HGE4857,2678812.433,1251888.604,white_circle
HGB4857,2678802.888,1251881.045,white_circle
HGC4857,2678807.899,1251878.725,white_circle
HGD4857,2678801.021,1251863.897,white_circle
10913116,2678817.821,1251863.624,double_white_circle
HGL6112,2678769.089,1251860.522,white_circle
HGF0830,2678772.195,1251859.086,white_circle
HG2544,2678787.595,1251860.227,double_white_circle
HGB0831,2678752.628,1251815.237,white_circle
HGI4938,2678751.164,1251814.413,white_circle
